"동별(1)",동별(2),동별(3),2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 4/4,2022 4/4,2022 4/4,2022 4/4,2022 4/4,2022 4/4
"동별(1)",동별(2),동별(3),세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자
"합계",구로구,고척1동,9416,22039,21732,307,2.31,4402,11120,25636,25318,318,2.28,4563
"합계",구로구,고척2동,11477,26712,26271,441,2.29,5482,11464,26557,26129,428,2.28,5554
"합계",구로구,개봉1동,14906,34232,33464,768,2.25,6647,14917,34105,33360,745,2.24,6727
"합계",구로구,개봉2동,12565,30910,30496,414,2.43,6760,12482,30665,30273,392,2.43,6795
"합계",구로구,개봉3동,8795,20353,19996,357,2.27,4420,8779,20251,19887,364,2.27,4465
"합계",구로구,오류1동,12151,22906,22334,572,1.84,4137,12396,23126,22541,585,1.82,4181
"합계",구로구,오류2동,15791,38755,38188,567,2.42,7361,15797,38528,37958,570,2.40,7426
"합계",구로구,수궁동,9950,23413,23130,283,2.32,4644,9943,23332,23039,293,2.32,4723
"합계",구로구,가리봉동,6077,12699,8938,3761,1.47,2163,6117,12653,8936,3717,1.46,2169
"합계",구로구,항동,6285,16594,16459,135,2.62,1762,6263,16551,16407,144,2.62,1792
"합계",금천구,가산동,17464,26619,24233,2386,1.39,2782,17500,26569,24211,2358,1.38,2829
"합계",금천구,독산1동,24286,47550,45821,1729,1.89,6154,24420,47573,45881,1692,1.88,6211
"합계",금천구,독산2동,9465,19759,18367,1392,1.94,3629,9430,19562,18223,1339,1.93,3680
"합계",금천구,독산3동,12948,27423,24188,3235,1.87,4837,12880,27239,24034,3205,1.87,4884
"합계",금천구,독산4동,7684,16519,14968,1551,1.95,3059,7659,16432,14885,1547,1.94,3085
"합계",금천구,시흥1동,16258,34195,32565,1630,2.00,6467,16252,34054,32460,1594,2.00,6533
"합계",금천구,시흥2동,8194,20870,20753,117,2.53,4209,8220,20832,20717,115,2.52,4296
"합계",금천구,시흥3동,4698,10792,10635,157,2.26,2437,4695,10701,10545,156,2.25,2471
"합계",금천구,시흥4동,9225,20729,20084,645,2.18,4347,9191,20614,19977,637,2.17,4407
"합계",금천구,시흥5동,9365,19416,18890,526,2.02,4523,9336,19242,18709,533,2.00,4532
"합계",영등포구,여의동,13315,33006,32633,373,2.45,6333,13288,32923,32555,368,2.45,6371
"합계",영등포구,당산1동,10960,20763,20405,358,1.86,3482,11000,20740,20373,367,1.85,3503
"합계",영등포구,당산2동,19060,37722,37354,368,1.96,4881,18792,37102,36716,386,1.95,4853
"합계",영등포구,양평1동,9938,18714,18407,307,1.85,2445,9930,18704,18394,310,1.85,2441
"합계",영등포구,양평2동,10868,22563,22365,198,2.06,2592,10893,22583,22379,204,2.05,2636
