"동별(1)",동별(2),동별(3),2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 4/4,2022 4/4,2022 4/4,2022 4/4,2022 4/4,2022 4/4
"동별(1)",동별(2),동별(3),세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자
"합계",동작구,사당2동,12537,28817,28468,349,2.27,5767,12565,28786,28440,346,2.26,5827
"합계",동작구,사당3동,10524,24237,24053,184,2.29,4591,10500,24189,24001,188,2.29,4665
"합계",동작구,사당4동,7271,14277,14100,177,1.94,2733,7265,14185,14016,169,1.93,2777
"합계",동작구,사당5동,6680,14456,14355,101,2.15,2430,6691,14434,14334,100,2.14,2448
"합계",동작구,대방동,17280,37757,37422,335,2.17,5903,17044,37056,36733,323,2.16,5818
"합계",동작구,신대방1동,10343,24988,23227,1761,2.25,4035,10409,25118,23364,1754,2.24,4093
"합계",동작구,신대방2동,10666,22498,22274,224,2.09,3403,10682,22445,22218,227,2.08,3468
"합계",동작구,흑석동,13595,31892,30164,1728,2.22,5611,12706,30694,28517,2177,2.24,5271
"합계",관악구,남현동,9848,18237,18031,206,1.83,2910,9856,18163,17962,201,1.82,2948
"합계",관악구,보라매동,13091,24740,24298,442,1.86,4608,13096,24660,24221,439,1.85,4667
"합계",관악구,청림동,6466,15084,14990,94,2.32,2797,6425,15005,14901,104,2.32,2838
"합계",관악구,행운동,18232,29741,29259,482,1.60,4500,18196,29636,29132,504,1.60,4532
"합계",관악구,낙성대동,11904,17938,17380,558,1.46,2023,11871,17928,17334,594,1.46,2035
"합계",관악구,중앙동,10171,15730,15375,355,1.51,2366,10146,15685,15317,368,1.51,2401
"합계",관악구,인헌동,14797,26199,25800,399,1.74,4106,14745,26119,25725,394,1.74,4143
"합계",관악구,서원동,14797,23583,22900,683,1.55,3390,14764,23511,22786,725,1.54,3397
"합계",관악구,신원동,11331,18716,17944,772,1.58,3312,11311,18620,17847,773,1.58,3345
"합계",관악구,서림동,14765,24094,23272,822,1.58,3644,14986,24361,23436,925,1.56,3681
"합계",관악구,신사동,14366,24839,22717,2122,1.58,3720,14421,24719,22646,2073,1.57,3705
"합계",관악구,신림동,18851,23866,23083,783,1.22,1998,18890,23877,23081,796,1.22,2002
"합계",관악구,난향동,6253,15180,15059,121,2.41,2843,6198,15050,14926,124,2.41,2847
"합계",관악구,조원동,11362,19445,18129,1316,1.60,3010,11881,20490,19141,1349,1.61,3127
"합계",관악구,대학동,16713,25749,23739,2010,1.42,3164,16977,26301,24015,2286,1.41,3184
"합계",관악구,은천동,16074,33225,32774,451,2.04,6080,16073,33156,32710,446,2.04,6116
"합계",관악구,성현동,12276,28967,28773,194,2.34,5502,12263,28830,28640,190,2.34,5550
"합계",관악구,청룡동,24063,37018,35973,1045,1.49,4703,24210,37132,36075,1057,1.49,4740
"합계",관악구,난곡동,13069,26833,26395,438,2.02,5548,13031,26679,26240,439,2.01,5600
"합계",관악구,삼성동,9930,20814,20675,139,2.08,5490,9853,20642,20501,141,2.08,5504
"합계",관악구,미성동,14447,30752,30221,531,2.09,5999,14430,30662,30116,546,2.09,6085
"합계",서초구,서초1동,9535,20727,20540,187,2.15,3108,9466,20622,20429,193,2.16,3145
"합계",서초구,서초2동,11623,26856,26470,386,2.28,3326,11675,26932,26473,459,2.27,3401
"합계",서초구,서초3동,15238,32397,32077,320,2.11,4944,15209,32379,32045,334,2.11,5013
"합계",서초구,서초4동,10704,30584,30351,233,2.84,4341,10652,30521,30270,251,2.84,4353
"합계",서초구,잠원동,10552,26459,26276,183,2.49,3396,10485,26393,26204,189,2.50,3404
"합계",서초구,반포본동,143,305,286,19,2.00,41,137,292,275,17,2.01,41
"합계",서초구,반포1동,14884,34634,34278,356,2.30,4122,14774,34443,34077,366,2.31,4141
"합계",서초구,반포2동,4997,15823,15729,94,3.15,2068,4985,15742,15642,100,3.14,2104
"합계",서초구,반포3동,7622,22055,21999,56,2.89,3149,7855,22773,22716,57,2.89,3273
"합계",서초구,반포4동,7097,19581,18882,699,2.66,2977,7081,19486,18790,696,2.65,3008
"합계",서초구,방배본동,7971,20843,20690,153,2.60,3185,7930,20778,20614,164,2.60,3207
"합계",서초구,방배1동,7516,16896,16758,138,2.23,2973,7495,16883,16726,157,2.23,2996
"합계",서초구,방배2동,8027,18631,18516,115,2.31,3498,8005,18553,18444,109,2.30,3552
"합계",서초구,방배3동,6568,17643,17547,96,2.67,3327,6383,17321,17221,100,2.70,3305
"합계",서초구,방배4동,9621,23444,23134,310,2.40,3597,9600,23429,23115,314,2.41,3604
"합계",서초구,양재1동,17886,42875,42541,334,2.38,7217,17837,42683,42338,345,2.37,7268
"합계",서초구,양재2동,10924,21769,21555,214,1.97,3048,10952,21766,21547,219,1.97,3090
"합계",서초구,내곡동,7267,17503,17447,56,2.40,3386,7228,17455,17399,56,2.41,3442
"합계",강남구,신사동,6924,15942,15701,241,2.27,3063,6878,15876,15622,254,2.27,3078
"합계",강남구,논현1동,13899,22296,21654,642,1.56,2974,13683,22080,21395,685,1.56,2981
"합계",강남구,논현2동,11159,20891,20563,328,1.84,3170,11141,20814,20502,312,1.84,3192
"합계",강남구,삼성1동,5403,12847,12600,247,2.33,2177,5350,12739,12483,256,2.33,2214
"합계",강남구,삼성2동,13698,31067,30806,261,2.25,3867,13682,31062,30810,252,2.25,3912
"합계",강남구,대치1동,7234,23868,23835,33,3.29,2649,7207,23846,23810,36,3.30,2690
"합계",강남구,대치2동,13088,37188,37032,156,2.83,5282,12951,37098,36946,152,2.85,5342
"합계",강남구,대치4동,10124,19677,19393,284,1.92,2079,9912,19491,19206,285,1.94,2085
"합계",강남구,역삼1동,23901,35780,34744,1036,1.45,3678,23700,35556,34485,1071,1.46,3695
"합계",강남구,역삼2동,15871,37263,36931,332,2.33,3865,15807,37269,36930,339,2.34,3906
"합계",강남구,도곡1동,8474,21351,21206,145,2.50,3106,8425,21274,21126,148,2.51,3124
"합계",강남구,도곡2동,11515,32863,32776,87,2.85,5091,11498,32846,32753,93,2.85,5129
"합계",강남구,개포1동,2639,6928,6906,22,2.62,1662,2632,6922,6901,21,2.62,1677
"합계",강남구,개포2동,9795,28276,28200,76,2.88,3816,10094,29032,28947,85,2.87,3918
"합계",강남구,개포3동,-,-,-,-,-,-,7413,17382,17318,64,2.34,3563
"합계",강남구,개포4동,10036,23763,23595,168,2.35,3425,10034,23639,23472,167,2.34,3493
"합계",강남구,일원본동,8042,23063,23035,28,2.86,3306,8029,23015,22988,27,2.86,3383
"합계",강남구,일원1동,7446,15042,14908,134,2.00,3356,7435,14987,14850,137,2.00,3386
"합계",강남구,일원2동,7442,17475,17411,64,2.34,3521,-,-,-,-,-,-
"합계",강남구,수서동,7786,14530,14472,58,1.86,4875,7736,14402,14346,56,1.85,4935
"합계",강남구,세곡동,18067,43469,43292,177,2.40,6827,18054,43382,43208,174,2.39,6904
"합계",강남구,압구정동,10070,25947,25800,147,2.56,5259,10053,25902,25749,153,2.56,5287
"합계",강남구,청담동,11074,25462,25243,219,2.28,3788,11063,25489,25255,234,2.28,3821
"합계",송파구,풍납1동,5879,13048,12514,534,2.13,2816,5827,12910,12386,524,2.13,2829
"합계",송파구,풍납2동,10857,24481,24307,174,2.24,3980,10855,24426,24241,185,2.23,4030
"합계",송파구,거여1동,5598,12316,12246,70,2.19,2480,5582,12255,12181,74,2.18,2500
"합계",송파구,거여2동,9969,23664,23571,93,2.36,4170,10040,23745,23653,92,2.36,4283
"합계",송파구,마천1동,8752,18756,18614,142,2.13,4285,8708,18618,18479,139,2.12,4320
"합계",송파구,마천2동,8638,18275,18116,159,2.10,4132,8585,18150,17995,155,2.10,4193
"합계",송파구,방이1동,6193,15536,15438,98,2.49,2319,6127,15460,15361,99,2.51,2331
"합계",송파구,방이2동,15209,26589,26035,554,1.71,3596,15147,26354,25795,559,1.70,3634
"합계",송파구,오륜동,5906,17836,17818,18,3.02,3024,5889,17804,17784,20,3.02,3066
"합계",송파구,오금동,15603,38147,37925,222,2.43,6694,15579,38037,37800,237,2.43,6820
"합계",송파구,송파1동,12412,24046,23730,316,1.91,3583,12390,24008,23693,315,1.91,3632
"합계",송파구,송파2동,7204,19057,18911,146,2.63,2974,7185,18947,18806,141,2.62,3026
"합계",송파구,석촌동,16837,31707,31154,553,1.85,4644,16861,31602,31054,548,1.84,4687
"합계",송파구,삼전동,16000,30019,29651,368,1.85,4094,16013,29912,29526,386,1.84,4160
"합계",송파구,가락본동,11680,26024,25759,265,2.21,3960,11643,25883,25616,267,2.20,4006
"합계",송파구,가락1동,9852,27481,27348,133,2.78,3725,9858,27521,27387,134,2.78,3815
"합계",송파구,가락2동,12364,31738,31567,171,2.55,4457,12308,31670,31501,169,2.56,4513
"합계",송파구,문정1동,8476,20018,19840,178,2.34,3138,8468,19916,19743,173,2.33,3208
"합계",송파구,문정2동,15737,28945,28756,189,1.83,4125,15686,28841,28645,196,1.83,4173
"합계",송파구,장지동,12102,29175,29015,160,2.40,4556,12057,29102,28949,153,2.40,4623
"합계",송파구,잠실본동,15767,28362,27863,499,1.77,3872,15822,28358,27842,516,1.76,3917
"합계",송파구,잠실2동,11524,34826,34712,114,3.01,3858,11516,34876,34758,118,3.02,3923
"합계",송파구,잠실3동,11821,34042,33909,133,2.87,5970,11827,34143,34009,134,2.88,6077
"합계",송파구,잠실4동,7201,21200,21134,66,2.93,2949,7205,21223,21157,66,2.94,2977
"합계",송파구,잠실6동,5853,16720,16586,134,2.83,2970,5842,16713,16555,158,2.83,3010
"합계",송파구,잠실7동,3379,9475,9457,18,2.80,2221,3376,9427,9408,19,2.79,2237
"합계",송파구,위례동,14362,44364,44235,129,3.08,3511,14457,44613,44477,136,3.08,3583
"합계",강동구,명일1동,10052,25697,25615,82,2.55,4227,10024,25641,25558,83,2.55,4268
"합계",강동구,명일2동,6500,17362,17312,50,2.66,2740,6484,17327,17270,57,2.66,2792
"합계",강동구,고덕1동,8080,23850,23752,98,2.94,2945,8098,23919,23812,107,2.94,3015
"합계",강동구,고덕2동,8860,22696,22518,178,2.54,3147,8898,22764,22596,168,2.54,3165
"합계",강동구,암사1동,15908,34305,34016,289,2.14,6237,15949,34271,33989,282,2.13,6303
"합계",강동구,암사2동,6354,15124,15059,65,2.37,2516,6362,15069,15005,64,2.36,2524
"합계",강동구,암사3동,6165,17466,17415,51,2.82,2762,6167,17481,17433,48,2.83,2819
"합계",강동구,천호1동,12947,26753,26527,226,2.05,5378,12972,26670,26435,235,2.04,5453
"합계",강동구,천호2동,17589,33813,33212,601,1.89,6075,17578,33825,33202,623,1.89,6140
"합계",강동구,천호3동,14393,26637,26189,448,1.82,4779,14352,26679,26210,469,1.83,4826
"합계",강동구,성내1동,8341,19936,19805,131,2.37,3176,8293,19900,19761,139,2.38,3193
"합계",강동구,성내2동,12834,23704,23158,546,1.80,4464,12745,23528,22980,548,1.80,4469
"합계",강동구,성내3동,10715,23197,22910,287,2.14,4041,10644,23071,22765,306,2.14,4098
"합계",강동구,둔촌1동,41,81,71,10,1.73,14,39,73,64,9,1.64,11
"합계",강동구,둔촌2동,10325,24343,24240,103,2.35,4217,10291,24277,24171,106,2.35,4250
"합계",강동구,길동,21837,45420,45090,330,2.06,8322,21881,45374,45032,342,2.06,8478
"합계",강동구,강일동,13063,33097,32911,186,2.52,5691,13046,33057,32866,191,2.52,5784
"합계",강동구,상일1동,13547,39038,38895,143,3,4730,13570,39178,39036,142,3,4839
"합계",강동구,상일2동,4774,11971,11922,49,3,1888,4776,11933,11882,51,2,1913
