"자치구별(1)",자치구별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"자치구별(1)",자치구별(2),합계,합계,합계,자연공원(국립),자연공원(국립),자연공원(국립),도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,기타,기타,기타
"자치구별(1)",자치구별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,도시자연공원구역,도시자연공원구역,도시자연공원구역,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,도시계획시설(공원) ,소계,소계,소계
"자치구별(1)",자치구별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,근린공원,근린공원,근린공원,어린이공원,어린이공원,어린이공원,소공원,소공원,소공원,묘지공원,묘지공원,묘지공원,문화공원,문화공원,문화공원,체육공원,체육공원,체육공원,역사공원,역사공원,역사공원,수변공원,수변공원,수변공원,생태공원,생태공원,생태공원,가로공원,가로공원,가로공원,소계,소계,소계
"자치구별(1)",자치구별(2),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡),공원수 (개소),(중복),면적 (천㎡)
"합계",마포구,144,-,4570.8,-,-,-,101,-,3257.9,3,-,164.5,11,-,2826.6,52,-,86.3,24,-,34.7,1,-,13.2,9,-,127.7,-,-,-,1,-,4.8,-,-,-,-,-,-,-,-,-,43,-,1313.0
"합계",양천구,123,1,3049.6,-,-,-,105,1,2627.1,-,1,837.3,18,-,1389.1,74,-,129.1,11,-,25.3,-,-,-,2,-,246.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,422.6
"합계",강서구,173,-,4518.3,-,-,-,161,-,3433.9,5,-,975.0,23,-,2235.4,120,-,191.8,6,-,4.9,-,-,-,6,-,24.2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2.6,12,-,1084.4
"합계",구로구,108,2,3641.4,-,-,-,68,2,3319.7,6,-,2003.1,16,2,1205.4,26,-,53.3,14,-,23.5,-,-,-,3,-,14.4,1,-,12.8,-,-,-,-,-,-,-,-,-,2,-,7.2,40,-,321.7
"합계",금천구,55,2,2774.4,-,-,-,47,2,2610.4,-,1,2210.6,2,1,335.8,41,-,41.4,2,-,5.2,-,-,-,2,-,17.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,164.0
"합계",영등포구,108,-,3009.1,-,-,-,75,-,664.5,1,-,2.2,11,-,520.1,29,-,86.1,31,-,46.6,-,-,-,2,-,6.6,-,-,-,1,-,3.0,-,-,-,-,-,-,-,-,-,33,-,2344.6
"합계",동작구,86,1,4327.3,-,-,-,70,-,4091.1,3,-,568.2,9,-,2001.1,34,-,43.7,20,-,20.8,1,-,1404.0,2,-,5.5,-,-,-,1,-,47.8,-,-,-,-,-,-,-,-,-,16,1,236.2
"합계",관악구,134,3,12485.0,-,-,-,101,3,12424.4,3,1,10418.5,5,2,1858.8,71,-,86.7,17,-,22.6,-,-,-,1,-,4.3,-,-,-,-,-,-,4,-,33.5,-,-,-,-,-,-,33,-,60.6
"합계",서초구,179,1,15072.0,-,-,-,154,1,14267.7,6,1,12337.2,31,-,1436.2,88,-,160.6,24,-,52.8,1,-,127.8,-,-,-,1,-,20.9,-,-,-,3,-,132.1,-,-,-,-,-,-,25,-,804.3
"합계",강남구,164,1,7791.3,-,-,-,151,1,6501.7,5,1,4065.7,61,-,2122.2,62,-,99.5,16,-,21.7,1,-,44.0,2,-,38.4,-,-,-,2,-,96.1,2,-,14.1,-,-,-,-,-,-,13,-,1289.7
"합계",송파구,174,1,4771.4,-,-,-,161,-,2097.1,1,-,44.4,55,-,1775.9,88,-,153.6,14,-,43.5,-,-,-,-,-,-,-,-,-,2,-,75.4,1,-,4.3,-,-,-,-,-,-,13,1,2674.3
"합계",강동구,129,1,3407.7,-,-,-,120,1,2865.4,3,-,758.2,30,1,1752.2,62,-,137.1,16,-,25.1,-,-,-,4,-,11.4,1,-,29.8,1,-,110.2,3,-,41.5,-,-,-,-,-,-,9,-,542.2
"합계",서울대공원,1,-,6670.0,-,-,-,1,-,6670.0,-,-,-,1,-,6670.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
