,공원구분,소재지지번주소,위도,경도,제공기관명
16804,어린이공원, 강서구 화곡동,37.538365,126.844436,강서구
16805,어린이공원, 강서구 화곡동,37.541392,126.846938,강서구
16806,어린이공원, 강서구 화곡동,37.544538,126.848941,강서구
16807,어린이공원, 강서구 화곡동,37.546097,126.845352,강서구
16808,어린이공원, 강서구 화곡동,37.547141,126.847807,강서구
16809,어린이공원, 강서구 화곡동,37.546321,126.850461,강서구
16810,어린이공원, 강서구 화곡동,37.540768,126.849087,강서구
16811,어린이공원, 강서구 화곡동,37.539725,126.847003,강서구
16825,근린공원, 강서구 개화동,37.588011,126.796781,강서구
16826,근린공원, 강서구 화곡동,37.552858,126.856221,강서구
16827,근린공원, 강서구 가양동,37.570635,126.849087,강서구
16828,근린공원, 강서구 가양동,37.567599,126.853729,강서구
16829,근린공원, 강서구 가양동,37.561783,126.864104,강서구
16830,근린공원, 강서구 등촌동,37.559782,126.842567,강서구
16831,근린공원, 강서구 등촌동,37.563683,126.841391,강서구
16832,근린공원, 강서구 등촌동,37.558865,126.849984,강서구
16833,근린공원, 강서구 방화동,37.580907,126.81412,강서구
16834,근린공원, 강서구 방화동,37.573562,126.821695,강서구
16835,근린공원, 강서구 등촌동,37.557535,126.852151,강서구
16836,근린공원, 강서구 화곡동,37.536938,126.843936,강서구
16837,근린공원, 강서구 내발산,37.550967,126.829893,강서구
16838,근린공원, 강서구 내발산,37.55454,126.825837,강서구
17470,근린공원, 강서구 화곡동,37.55282,126.843808,강서구
17471,근린공원, 강서구 가양동,37.574254,126.841332,강서구
17472,근린공원, 강서구 염창동,37.557007,126.869821,강서구
17473,근린공원, 강서구 방화동,37.577983,126.808105,강서구
17474,근린공원, 강서구 화곡동,37.539906,126.849751,강서구
